entity_id,entity_name,entity_category
黑木耳炒苦瓜,黑木耳炒苦瓜,菜品
青椒茭白丝,青椒茭白丝,菜品
黄豆芽油豆腐,黄豆芽油豆腐,菜品
水芹香干,水芹香干,菜品
樱桃,樱桃,菜品
实体,实体,实体类别
低GI食物,低GI食物,食物GI类别
中GI食物,中GI食物,食物GI类别
高GI食物,高GI食物,食物GI类别
玉米面,玉米面,食物
面粉,面粉,食物
白萝卜,白萝卜,食物
大米,大米,食物
藜麦,藜麦,食物
玉米碴,玉米碴,食物
猪肉,猪肉,食物
鸡胸肉,鸡胸肉,食物
油菜,油菜,食物
圆白菜,圆白菜,食物
土豆,土豆,食物
牛肉,牛肉,食物
小米,小米,食物
藿香,藿香,食物
白鲢,白鲢,食物
杏鲍菇,杏鲍菇,食物
蒜苗,蒜苗,食物
油豆角,油豆角,食物
香菇,香菇,食物
油菜心,油菜心,食物
牛腩,牛腩,食物
苦菊,苦菊,食物
无糖酸奶,无糖酸奶,食物
小葱,小葱,食物
韭菜,韭菜,食物
鸡蛋,鸡蛋,食物
葱,葱,食物
小白菜,小白菜,食物
猪排骨,猪排骨,食物
虾仁,虾仁,食物
百合,百合,食物
面条,面条,食物
甘草,甘草,食物
羊肉,羊肉,食物
生姜,生姜,食物
鲫鱼,鲫鱼,食物
黄豆芽,黄豆芽,食物
皮蛋,皮蛋,食物
党参,党参,食物
黄芪,黄芪,食物
鸡肉,鸡肉,食物
豌豆,豌豆,食物
胡萝卜,胡萝卜,食物
平菇,平菇,食物
青菜,青菜,食物
猪瘦肉,猪瘦肉,食物
蒲公英,蒲公英,食物
绿豆芽,绿豆芽,食物
核桃,核桃,食物
莲子,莲子,食物
牛瘦肉,牛瘦肉,食物
西芹,西芹,食物
裙带菜,裙带菜,食物
西葫芦,西葫芦,食物
白扁豆,白扁豆,食物
葛根,葛根,食物
带鱼,带鱼,食物
芋头,芋头,食物
豆腐脑,豆腐脑,食物
木耳,木耳,食物
荠菜,荠菜,食物
内酯豆腐,内酯豆腐,食物
油面筋,油面筋,食物
马兰头,马兰头,食物
香干,香干,食物
油麦菜,油麦菜,食物
口蘑,口蘑,食物
鳕鱼,鳕鱼,食物
香椿,香椿,食物
冬瓜,冬瓜,食物
毛豆,毛豆,食物
苦瓜,苦瓜,食物
茭白,茭白,食物
油豆腐,油豆腐,食物
水芹菜,水芹菜,食物
黑芝麻,黑芝麻,食物
